user_id,input_cnt,valid_input_cnt,correct_cnt,odd_input_cnt,correct_rate,rank,score,work_time
4065996168,226,224,224,0,1,423,0.980229949523275,71.7166666666667
4066103989,37,37,37,0,1,4183,0.801832118152926,1290.63333333333
4066515390,22,21,21,0,1,6666,0.686016077771546,3.86666666666667
4066598273,1,1,1,0,1,14959,0.252757524770985,0
4066844574,128,126,126,2,1,1052,0.950785193494111,5588.48333333333
4066993086,88,87,87,0,1,1672,0.921761076836792,48.4833333333333
4067449977,40,40,40,0,1,3886,0.815526266591886,6.41666666666667
4067495025,75,71,70,3,0.985915492957746,18482,0.136240418769864,25.8333333333333
4067634107,14,12,12,2,1,9244,0.56692839783137,4.93333333333333
4067670296,25,25,24,0,0.96,19435,0.091372219106375,4.31666666666667
4067866700,1600,1532,1529,1,0.998041775456919,16926,0.208964292391101,2063.8
4068173374,471,470,468,1,0.995744680851064,17321,0.190502897737895,22.8666666666667
4068469755,60,60,60,0,1,2577,0.878996074032529,122.266666666667
4068473137,24,6,6,0,1,11944,0.441764815853431,2.08333333333333
4068588186,10,9,9,1,1,10354,0.513226771359133,1.9
4068721138,158,158,158,0,1,752,0.964713030472986,4.41666666666667
4069028774,4,4,4,0,1,12531,0.392269583099645,1.58333333333333
4069794634,105,105,104,0,0.990476190476191,18071,0.155309403626846,340.033333333333
4069854232,2,1,0,0,0,21083,0.0130865582351841,0.0666666666666667
4070124080,7,7,7,0,1,10929,0.472938867077959,1.35
4070266391,79,75,73,3,0.973333333333333,19079,0.108338007104132,9.03333333333333
4070528289,57,57,57,0,1,2724,0.871471303047299,11.7833333333333
4070530352,55,54,54,1,1,2902,0.863806318938119,1.66666666666667
4070763506,33,32,32,1,1,4823,0.773415591699383,15.45
4070941866,9,9,9,0,1,10062,0.516171246962049,5.26666666666667
4071221434,40,39,39,0,1,4050,0.809730790802019,97.6666666666667
4071332904,6,6,6,0,1,11428,0.448822209758833,1.36666666666667
4071381182,876,875,873,0,0.997714285714286,16977,0.206580669283978,1687.88333333333
4071418024,27,27,25,0,0.925925925925926,19845,0.0725369227893064,5.78333333333333
4072125623,80,80,80,0,1,1832,0.913862404187699,4.3
4072437589,2,1,1,1,1,15990,0.241073097775285,0.233333333333333
4072481287,62,60,60,1,1,2598,0.878435221536736,231.7
4072706067,36,36,36,0,1,4286,0.796737707982801,196.916666666667
4072865303,3,3,3,0,1,13185,0.358618433352028,0.6
4073122975,19,19,18,0,0.947368421052632,19626,0.0822116283417461,1.75
4073449778,29,28,28,1,1,5364,0.747943540848757,7.05
4073517860,90,89,89,1,1,1631,0.923630585156104,448.5
4073551792,6,6,6,0,1,11428,0.448822209758833,1.06666666666667
4074090521,52,52,52,0,1,2991,0.858524957936063,4.7
4074375581,95,95,94,0,0.989473684210526,18185,0.149934567208824,7.2
4074436971,3,2,2,1,1,14620,0.309169938306225,0.333333333333333
4074504006,14,13,13,0,1,8827,0.584828939988783,230.333333333333
4074551433,143,138,137,0,0.992753623188406,17795,0.168349224154047,108.683333333333
4074702249,3,2,2,1,1,14620,0.309169938306225,0.833333333333333
4074891036,5,4,4,1,1,13005,0.387595812301365,2.78333333333333
4075363018,39,39,39,0,1,3980,0.810805758085623,8.8
4075548807,260,259,257,0,0.992277992277992,17847,0.165918863338942,1125
4075581942,422,421,420,1,0.997624703087886,16996,0.205692652832305,207.066666666667
4075631011,20,7,4,13,0.571428571428571,20722,0.0315479528883904,1.21666666666667
4075648399,35,34,33,0,0.970588235294118,19175,0.103757711721817,8.45
4075996686,16,15,15,0,1,8179,0.615114974761638,3.33333333333333
4076124568,56,56,56,0,1,2774,0.869368106188073,5999.61666666667
4076538366,41,40,40,0,1,3949,0.814544774724248,7.3
4076632887,27,26,26,1,1,5667,0.733922228453917,2.73333333333333
4076690803,9,9,9,0,1,10062,0.516171246962049,2.8
4076747530,1,1,1,0,1,14959,0.252757524770985,0
4076858998,9,7,7,2,1,11370,0.46728360441204,1.06666666666667
4077268094,24,24,24,0,1,5896,0.718498784819592,118.066666666667
4077464581,24,24,24,0,1,5896,0.718498784819592,6.1
4077620001,1,1,1,0,1,14959,0.252757524770985,0
4078322882,354,351,350,0,0.997150997150997,17077,0.201906898485698,284.4
4078609747,559,545,544,2,0.998165137614679,16904,0.209992521966723,150.6
4078831141,17,17,17,0,1,7428,0.643765189755094,0.85
4078905665,9,9,9,0,1,10062,0.516171246962049,1.26666666666667
4078934096,62,61,61,0,1,2547,0.880351467564031,1.71666666666667
4079169128,52,52,51,0,0.980769230769231,18773,0.122452794914937,7.05
4079242110,33,30,30,3,1,5122,0.76051598429613,5795.93333333333
4079266108,555,555,554,0,0.998198198198198,16895,0.210413161338568,3362.3
4079509049,44,43,43,1,1,3698,0.826416152551879,4.76666666666667
4079695373,57,55,55,1,1,2857,0.866283417461208,6.01666666666667
4079856720,2,2,2,0,1,13960,0.316788184707422,0.216666666666667
4080169328,7,7,7,0,1,10929,0.472938867077959,5467.35
4080415486,60,56,55,4,0.982142857142857,18708,0.125630959057768,7.18333333333333
4080504739,5,5,5,0,1,11954,0.421620863712844,0.866666666666667
4080652560,16,16,16,0,1,7703,0.630912320059824,6.3
4080671774,3,3,3,0,1,13185,0.358618433352028,0.816666666666667
4080767906,2,2,2,0,1,13960,0.316788184707422,0.1
4080792689,17,12,10,5,0.833333333333333,20263,0.0529070854365302,93.6333333333333
4080884870,21,13,13,1,1,8920,0.583146382501402,194.033333333333
4081647669,56,56,55,0,0.982142857142857,18699,0.125864647597682,5.13333333333333
4081727987,626,625,622,1,0.9952,17420,0.185875864647598,2531.28333333333
4081770325,71,70,70,0,1,2180,0.897924845765564,78.0833333333333
4082134182,342,341,339,1,0.994134897360704,17596,0.177650028042625,59.1333333333333
4082553716,20,19,19,0,1,7120,0.665404748551131,3.45
4082579473,4,1,1,0,1,16384,0.230557113479155,0.6
4083233853,121,121,121,0,1,1109,0.948027668723126,19.6333333333333
4083417809,1,1,1,0,1,14959,0.252757524770985,0
4083555470,189,187,186,0,0.994652406417112,17509,0.181622733221163,68.8166666666667
4083735046,10,5,5,0,1,12508,0.415311273135165,1.4
4084144818,2,2,2,0,1,13960,0.316788184707422,0.166666666666667
4084257056,185,182,182,1,1,601,0.97195737521032,720
4084498082,35,35,34,0,0.971428571428571,19140,0.105066367545336,1.56666666666667
4084543482,5,5,5,0,1,11954,0.421620863712844,0.783333333333333
4084626332,33,31,31,2,1,4973,0.767386427369602,2.75
4084720117,2,1,1,0,1,15990,0.241073097775285,0
4084813935,27,27,27,0,1,5418,0.742475229014769,3.3
4084891849,18,12,11,1,0.916666666666667,19925,0.0687511684426996,32.7166666666667
4085302170,9,9,9,0,1,10062,0.516171246962049,3.03333333333333
4085303508,11,10,10,1,1,9930,0.532482707048046,0.9
4085357211,1,1,1,0,1,14959,0.252757524770985,0
4085418951,54,54,54,0,1,2868,0.864460646849878,8.9
4085718017,38,38,38,0,1,4085,0.806505888951206,59.7166666666667
4086056828,14,14,14,0,1,8276,0.603103383810058,1.3
4086181265,353,346,344,1,0.994219653179191,17582,0.178304355954384,54.15
4086196092,19,19,17,0,0.894736842105263,20049,0.0628622172368667,3.15
4086479014,11,3,3,0,1,13920,0.349270891755468,1
4086506182,1,1,1,0,1,14959,0.252757524770985,0
4086520621,262,257,257,0,1,349,0.983735277621985,58.4666666666667
4086642524,6,2,2,0,1,14855,0.305103757711722,386.05
4086644788,602,600,599,0,0.998333333333333,16875,0.211347915498224,3603.51666666667
4086733230,48,47,47,1,1,3364,0.8421200224341,22.9666666666667
4087099563,1,0,0,1,-1,21215,0.00294447560291643,0
4087147252,4,4,4,0,1,12531,0.392269583099645,0.366666666666667
